time,G(i),H_sun,T2m,WS10m,Int
20180109:1410,61.51,22.56,3.96,2.9,0.0
20180109:1510,281.99,16.2,3.55,2.83,0.0
20180109:1610,329.96,7.97,3.18,2.62,0.0
20180109:1710,0.0,0.0,2.78,2.41,0.0
20180109:1810,0.0,0.0,2.63,2.21,0.0
20180109:1910,0.0,0.0,2.52,1.45,0.0
20180109:2010,0.0,0.0,2.71,1.17,0.0
20180109:2110,0.0,0.0,2.89,0.97,0.0
20180109:2210,0.0,0.0,3.02,0.76,0.0
20180109:2310,0.0,0.0,3.25,0.62,0.0
20180110:0010,0.0,0.0,3.36,0.55,0.0
20180110:0110,0.0,0.0,3.29,0.62,0.0
20180110:0210,0.0,0.0,3.26,0.76,0.0
20180110:0310,0.0,0.0,3.37,0.69,0.0
20180110:0410,0.0,0.0,3.38,0.48,0.0
20180110:0510,0.0,0.0,3.45,0.34,0.0
20180110:0610,0.0,0.0,2.91,1.31,0.0
20180110:0710,0.0,0.0,2.42,1.45,0.0
20180110:0810,52.53,4.51,2.1,1.66,0.0
20180110:0910,77.74,13.33,3.2,2.14,0.0
20180110:1010,62.43,20.49,4.72,3.31,0.0
20180110:1110,72.52,25.42,5.9,3.79,0.0
20180110:1210,262.02,27.56,6.63,4.28,0.0
20180110:1310,101.9,26.62,6.88,4.9,0.0
20180110:1410,70.69,22.73,6.91,5.31,0.0
20180110:1510,50.49,16.37,6.39,4.21,0.0
20180110:1610,63.26,8.14,6.45,3.45,0.0
20180110:1710,0.0,0.0,6.39,3.03,0.0
20180110:1810,0.0,0.0,6.18,2.76,0.0
20180110:1910,0.0,0.0,6.36,3.31,0.0
20180110:2010,0.0,0.0,5.23,3.24,0.0
20180110:2110,0.0,0.0,4.13,2.97,0.0
20180110:2210,0.0,0.0,2.95,2.69,0.0
20180110:2310,0.0,0.0,2.02,2.48,0.0
20180111:0010,0.0,0.0,1.18,2.41,0.0
20180111:0110,0.0,0.0,0.45,2.41,0.0
20180111:0210,0.0,0.0,0.19,2.41,0.0
20180111:0310,0.0,0.0,0.02,2.55,0.0
20180111:0410,0.0,0.0,0.0,2.62,0.0
20180111:0510,0.0,0.0,0.31,2.55,0.0
20180111:0610,0.0,0.0,0.28,2.48,0.0
20180111:0710,0.0,0.0,0.79,2.55,0.0
20180111:0810,177.42,4.56,0.62,2.41,0.0
20180111:0910,554.5,13.4,1.92,2.07,0.0
20180111:1010,759.3,20.59,4.59,2.62,0.0
20180111:1110,840.76,25.55,5.99,4.0,0.0
20180111:1210,907.27,27.71,6.84,4.48,0.0
20180111:1310,889.54,26.79,7.26,4.41,0.0
20180111:1410,788.33,22.91,7.39,4.0,0.0
20180111:1510,583.91,16.55,7.32,3.93,0.0
20180111:1610,325.91,8.32,6.81,3.1,0.0
20180111:1710,0.0,0.0,5.65,2.55,0.0
20180111:1810,0.0,0.0,4.28,2.41,0.0
20180111:1910,0.0,0.0,3.87,2.55,0.0
20180111:2010,0.0,0.0,3.09,2.48,0.0
20180111:2110,0.0,0.0,2.09,2.14,0.0
20180111:2210,0.0,0.0,1.27,2.07,0.0
20180111:2310,0.0,0.0,0.69,2.0,0.0
20180112:0010,0.0,0.0,0.34,2.0,0.0
20180112:0110,0.0,0.0,0.1,1.79,0.0
20180112:0210,0.0,0.0,0.31,1.52,0.0
20180112:0310,0.0,0.0,-0.32,1.45,0.0
20180112:0410,0.0,0.0,-0.4,1.24,0.0
20180112:0510,0.0,0.0,-0.49,1.03,0.0
20180112:0610,0.0,0.0,-0.65,0.97,0.0
20180112:0710,0.0,0.0,-0.82,0.83,0.0
20180112:0810,161.68,4.62,-1.05,0.76,0.0
20180112:0910,482.71,13.48,0.0,0.69,0.0
20180112:1010,724.76,20.69,2.8,0.62,0.0
20180112:1110,878.4,25.68,5.11,0.41,0.0
20180112:1210,952.25,27.87,6.78,0.28,0.0
20180112:1310,840.89,26.96,7.99,0.83,0.0
20180112:1410,815.57,23.09,8.56,1.31,0.0
